,date,produit,region,quantité,prix_unitaire,coût_unitaire,heure_achat
0,2026-07-01,Souris,Ziguinchor,11,894,1061,07:36:16
1,2026-01-20,Tablette,Kaolack,12,308,862,15:25:54
2,2026-01-29,Laptop,Saint-Louis,10,951,342,03:56:39
3,2026-01-15,Souris,Kaolack,16,739,788,22:36:52
4,2026-11-01,Clavier,Ziguinchor,8,59,472,14:09:08
5,2026-08-01,Laptop,Thies,6,310,357,20:29:41
6,2026-01-29,Tablette,Kaolack,12,221,1107,20:12:30
7,2026-01-21,Smartphone,Thies,8,947,790,18:24:22
8,2026-07-01,Casque,Saint-Louis,4,62,608,12:56:40
9,2026-01-26,Tablette,Dakar,8,1241,1104,21:21:38
10,2026-01-19,Souris,Saint-Louis,18,370,1036,17:21:23
11,2026-01-23,Laptop,Kaolack,5,1392,125,05:04:57
12,2026-11-01,Casque,Thies,9,378,1141,08:27:28
13,2026-11-01,Laptop,Thies,4,834,1131,07:16:12
14,2026-01-24,Souris,Ziguinchor,17,826,1173,11:54:34
15,2026-01-21,Laptop,Thies,9,960,843,02:07:37
16,2026-04-01,Smartphone,Ziguinchor,1,1492,520,23:26:26
17,2026-08-01,Casque,Dakar,13,1168,481,07:03:45
18,2026-01-24,Casque,Kaolack,16,367,194,07:24:45
19,2026-03-01,Souris,Ziguinchor,13,285,211,06:49:38
20,2026-01-22,Smartphone,Dakar,14,383,498,08:00:31
21,2026-01-21,Tablette,Thies,3,425,939,02:11:46
22,2026-02-01,Laptop,Thies,6,1210,764,17:03:33
23,2026-01-24,Clavier,Dakar,18,637,852,15:00:28
24,2026-12-01,Laptop,Thies,19,562,973,02:01:27
25,2026-01-30,Laptop,Dakar,5,1369,36,09:21:00
26,2026-06-01,Tablette,Ziguinchor,15,1393,359,21:02:38
27,2026-02-01,Laptop,Ziguinchor,2,967,804,16:48:24
28,2026-01-28,Smartphone,Dakar,10,1422,180,16:35:20
29,2026-01-21,Smartphone,Ziguinchor,18,922,1138,09:38:21
30,2026-01-01,Casque,Ziguinchor,13,1302,176,23:08:20
31,2026-12-01,Souris,Ziguinchor,5,319,944,04:54:34
32,2026-01-26,Clavier,Saint-Louis,1,847,729,23:12:40
33,2026-01-22,Laptop,Kaolack,1,1364,111,06:37:54
34,2026-01-29,Laptop,Thies,18,774,543,12:07:22
35,2026-12-01,Tablette,Saint-Louis,15,1238,844,18:06:00
36,2026-01-25,Souris,Ziguinchor,17,54,738,04:53:22
37,2026-01-17,Smartphone,Dakar,11,900,775,07:12:11
38,2026-01-27,Clavier,Ziguinchor,17,1452,1052,08:06:32
39,2026-01-27,Casque,Kaolack,13,127,736,12:55:42
40,2026-01-31,Smartphone,Ziguinchor,1,1483,500,11:48:40
41,2026-10-01,Souris,Dakar,2,623,1172,17:59:32
42,2026-01-28,Casque,Kaolack,9,181,425,16:19:22
43,2026-01-28,Tablette,Ziguinchor,3,650,290,13:55:06
44,2026-01-16,Tablette,Kaolack,1,1115,834,22:32:01
45,2026-01-15,Laptop,Thies,16,138,963,07:05:59
46,2026-01-30,Souris,Thies,6,451,934,09:22:22
47,2026-01-30,Clavier,Ziguinchor,17,345,1106,19:21:09
48,2026-01-15,Casque,Kaolack,5,1368,969,22:16:39
49,2026-01-30,Smartphone,Dakar,5,665,883,06:02:34
50,2026-01-19,Souris,Ziguinchor,6,849,622,01:06:12
51,2026-12-01,Souris,Thies,3,471,743,19:40:31
52,2026-01-23,Tablette,Thies,5,1096,661,11:37:53
53,2026-01-20,Laptop,Ziguinchor,5,624,88,02:45:03
54,2026-01-25,Laptop,Kaolack,10,192,157,00:50:20
55,2026-03-01,Casque,Thies,10,1042,765,11:35:55
56,2026-05-01,Tablette,Kaolack,19,714,750,23:52:36
57,2026-01-19,Souris,Thies,17,194,1168,12:40:48
58,2026-07-01,Clavier,Thies,14,1298,555,02:38:36
59,2026-01-21,Tablette,Saint-Louis,9,1056,550,00:39:56
60,2026-09-01,Casque,Thies,14,552,581,23:21:22
61,2026-07-01,Casque,Dakar,1,870,266,05:18:49
62,2026-01-18,Tablette,Ziguinchor,19,153,523,00:26:31
63,2026-04-01,Casque,Ziguinchor,13,1112,33,03:08:23
64,2026-01-25,Tablette,Kaolack,13,247,695,08:29:21
65,2026-01-28,Smartphone,Thies,4,628,471,19:55:19
66,2026-01-14,Tablette,Dakar,1,440,58,23:57:11
67,2026-01-18,Tablette,Kaolack,17,1252,1162,02:01:54
68,2026-01-26,Casque,Saint-Louis,8,603,639,05:27:03
69,2026-09-01,Casque,Kaolack,2,1088,834,18:47:55
70,2026-01-26,Laptop,Kaolack,8,1362,104,18:04:42
71,2026-01-21,Laptop,Thies,7,527,867,23:13:44
72,2026-02-01,Smartphone,Saint-Louis,2,1304,1199,09:12:10
73,2026-01-20,Laptop,Kaolack,3,972,157,14:22:36
74,2026-01-28,Tablette,Dakar,18,469,71,07:18:12
75,2026-01-15,Casque,Dakar,12,206,70,23:56:46
76,2026-01-28,Laptop,Ziguinchor,1,599,963,19:14:34
77,2026-07-01,Laptop,Saint-Louis,12,1170,63,00:41:09
78,2026-12-01,Smartphone,Saint-Louis,5,1070,1070,14:59:07
79,2026-01-29,Souris,Ziguinchor,17,1046,1027,06:15:34
80,2026-08-01,Smartphone,Kaolack,16,1484,617,17:40:20
81,2026-01-15,Tablette,Saint-Louis,15,1000,371,13:34:34
82,2026-03-01,Casque,Dakar,15,338,56,13:48:28
83,2026-01-14,Smartphone,Dakar,5,1327,675,20:42:33
84,2026-01-17,Laptop,Thies,14,245,760,18:59:04
85,2026-04-01,Casque,Saint-Louis,2,647,197,13:38:58
86,2026-01-18,Casque,Kaolack,11,566,639,15:05:02
87,2026-08-01,Laptop,Ziguinchor,19,914,297,13:13:58
88,2026-04-01,Smartphone,Ziguinchor,7,1191,850,21:44:09
89,2026-02-01,Laptop,Kaolack,6,855,484,00:45:19
90,2026-01-30,Souris,Thies,2,1232,935,06:21:30
91,2026-06-01,Casque,Ziguinchor,6,864,951,21:27:16
92,2026-01-22,Clavier,Saint-Louis,18,277,1010,10:08:29
93,2026-10-01,Clavier,Thies,2,265,731,11:48:54
